Route_name,Source,Destination,No_of_Stops_between_Source_to_Dest_including_Src_and_Dest,Total_number_of_Bus_Stops,Percentage_of_Bus_Stops_in_between,Maximum_number_of_Tickets_Sold,Total_Tickets_Sold,Pecentage_of_Tickets_Sold
BMT38-GTH-HORJNUP,KSBDA Karnataka Slum Board Development Apartment,RAYSNC Rayasandra Circle,2,2,100.0,4,4,100.0
150UP,SBS0 Shivajinagara Bus Station,KRMC1 KR Market,4,4,100.0,289,368,78.53261
RMH-TVKDN,MLGDH Maligondanahalli,TVRKR1 Tavarekere,2,2,100.0,3,3,100.0
316-UDN,RCHMDCR Richmond Circle,KRM4 KR Market,4,17,23.529411,3,3,100.0
VKN-KMTDN,BNGDY Basavanagudi Police Station,KRMT1 KR Market,3,3,100.0,3,4,75.0
SBS-BSKDN,JTTMC Jayanagara TTMC,BSKTTMC0 Banashankari TTMC,2,4,50.0,42,56,75.0
BKH-HSK KEBDN,BKTH Bhaktharahalli Cross,KEB-1 Hoskote KEB Circle (Towards KR Puram),2,2,100.0,1,1,100.0
BSNP-CVNUP,HVNRC Havanur Circle (Towards Rajajinagara),KVRNGR Cauvery Nagara,2,2,100.0,3,3,100.0
163-AUP,KKMP Kalyana Mantapa Koramangala,KRMDTMC Koramangala TTMC,2,3,66.66667,1,1,100.0
PTH-KDGUP,BRP1 Byatarayanapura (Towards Hebbala),KDLY Kodigehalli,2,2,100.0,2,2,100.0
JGN-ELCDN,RPSHTL Rupesh Hotel,BMSIA Bommasandra (Towards Hosur Road),2,2,100.0,2,2,100.0
NSH-RTNPDN,BOPSDST Bhoopasandra,HBL1 Hebbala (Towards RM Guttahalli),2,2,100.0,9,9,100.0
KDG-DHLDN,ITPL ITPL,BTM16th 16th Main BTM Layout ,5,5,100.0,2,2,100.0
MRTG-JHCUP,SKK Sunkadakatte,JHC4 Jalahalli Cross,2,2,100.0,1,1,100.0
390DN,PNHC1 Pethanahalli Cross,HKEB Hoskote KEB Circle (Towards Hoskote),2,14,14.285715,1,1,100.0
225-DDN,BPN Bapujinagara,KBS123 Kempegowda Bus Station,3,5,60.000004,5,7,71.42857
150DN,KRMC1 KR Market,SBS1 Shivajinagara Bus Station,4,4,100.0,167,227,73.56828
D34 Gate-BSPCUP,D34GT Depot-34 Gate,GTR2 Gottigere (Towards Basavanapura Gate),2,2,100.0,2,2,100.0
YTTMC-NLOUP,GTMLO Ganesha Temple Mahalaskhmi Layout,NLO1 Nandini Layout Bus Stand,2,2,100.0,2,2,100.0
KBS-DPN-87UP,PIPELINE Pipeline Binni Layout ,HPN0 Hampinagara RPC Layout,4,4,100.0,3,3,100.0
SGH-HNG MICOUP,BTM16 16th Main BTM Layout ,BMH0 Bommanahalli (Towards Beguru),2,2,100.0,2,2,100.0
GNR-YTTMCDN,GNR1 Ganga Nagara,YTTMC Yashawanthapura TTMC,2,2,100.0,4,4,100.0
98F VSDUP,LXMI Lakshmidevi Nagara,SWK Swastik Sheshadripuram College ,4,5,80.0,3,4,75.0
D33-AGSL-VBNUP,VBB1 Ittamadu,HSKHC Hoskerehalli Junction,2,3,66.66667,11,12,91.66667
DRDO-SNBS 314EDN,BEMLG1 BEML Gate (Towards HAL),HLS Halasuru,2,2,100.0,1,1,100.0
KMS-BTMSDN,BSKTTMC1 Banashankari TTMC,BTM16 16th Main BTM Layout ,2,2,100.0,1,1,100.0
RTNPS-KBRUP,RTNPS3 Police Station RT Nagara ,KBR Kaval Byrasandra,2,2,100.0,15,15,100.0
D31G-MLOUP,KTRVS Kanteerava Studio,MLO3 Mahalakshmi Layout,2,2,100.0,2,2,100.0
MPJ-KRMUP,CORNL Carmel Convent Jayanagara,END East End Jayanagara (Towards BTM Layout),2,2,100.0,3,3,100.0
129UP,KBS1 Kempegowda Bus Station,SBS1 Shivajinagara Bus Station,5,5,100.0,1177,1493,78.834564
KVS-KGDUP,DRDOQ DRDO Quarters,CVRN CV Raman Nagara (Towards BEML Gate),2,2,100.0,1,1,100.0
BEML5-CRLUP,CNSDR1 Channasandra (Towards BEML 5th Stage),UTRCL Uttarahalli Circle,2,2,100.0,2,2,100.0
ADT-IAFUP,YHKSC1 Yelahanka Santhe Circle,BLGC Bagalur Cross,2,2,100.0,1,1,100.0
DPJN-KDGUP,SJRHS Sathya Sai Hospital,KDG0 Kadugodi Bus Station,4,22,18.181818,3,4,75.0
BMT10-JTNUP,D10G Depot-10 Gate,HMVA Horamavu Agara,3,3,100.0,6,7,85.71429
LBSN-D06DN,HALMG1 HAL Main Gate (Towards NGEF),ISOLH Isolation Hospital,2,4,50.0,18,22,81.818184
YTTMC-MLO-JBNUP,MLO1 Mahalakshmi Layout,KRVS Kanteerava Studio,2,2,100.0,1,1,100.0
D10-RCHUP,JONGWR Jn of Nagavara,THNSN Thanisandra,2,3,66.66667,13,15,86.666664
KBS-MEGHUP,KBS1 Kempegowda Bus Station,HBL Hebbala (Towards Yalahanka),2,3,66.66667,5,6,83.33333
MLO-SHCLUP,MLO3 Mahalakshmi Layout,RJN1B 1st Block Rajajinagara,2,2,100.0,1,1,100.0
D34-KCHUP,D34GT Depot-34 Gate,HMG Hulimavu Gate (Towards Jayadeva Hospital),2,2,100.0,1,1,100.0
KRP-TNF-CHLSUP,GDLH Geddalahalli (Towards Byrathi Bande),KOTNR Kothanuru ,2,6,33.333336,1,1,100.0
PTH-JakkuruUP,PTNHL1 Puttenahalli,NES1 NES Office,2,2,100.0,1,1,100.0
JVS-BSKUP,KDRNH Kadirenahalli,BSKTTMC1 Banashankari TTMC,2,5,40.0,43,61,70.491806
129DN,SBS0 Shivajinagara Bus Station,KBS123 Kempegowda Bus Station,4,4,100.0,1758,1761,99.82964
600KDUP,ELC2 Electronic City 378 ,ELCWG ELC Wipro Gate,2,2,100.0,5,5,100.0
DBS-D06DN,BOPBSTP Dhoopanahalli,kfcps2 Police Station Indiranagara,2,4,50.0,28,38,73.68421
JHC-VNSUP,BELCRL BEL Circle (Towards Mathikere),DVNRA Devinagara,2,4,50.0,3,3,100.0
MMS-YTTMCUP,MLLSRM 11th Cross Malleshwaram ,YTTMC Yashawanthapura TTMC,2,2,100.0,36,36,100.0
PSS-PBSUP,NTTF NTTF Peenya,JHC3 Jalahalli Cross,2,2,100.0,4,4,100.0
TAT-PSSDN,MRSNF Marison Factory,JHC4 Jalahalli Cross,2,2,100.0,1,1,100.0
TDL-VNSUP,KDL Kodigehalli,ESTML2 Military Dairy Farm,2,2,100.0,1,1,100.0
CVN-BSNDN,KVRNGR Cauvery Nagara,KML1 Market Kamalanagara,2,2,100.0,1,1,100.0
CVN-SMHDN,KMKPL Kamakshipalya,SMH4 Summanahalli,5,5,100.0,2,2,100.0
SVMS-D06DN,ISOLH Isolation Hospital,DEPO6 Depot-06 Gate,2,2,100.0,1,1,100.0
NAL-DRDO2DN,HALMG HAL Main Gate (Towards Marathahalli Bridge),BVSBS Basavanagara ,2,2,100.0,1,1,100.0
ELC-WPRUP,ELCCITY Electronic City (Towards Shantipura),ELCWG ELC Wipro Gate,3,3,100.0,13,14,92.85714
NBDA-KHB-SBSUP,MGDTLG Magadi Road TollGate ,MHC Maharanis College,3,4,75.0,1,1,100.0
AKN-CSBDN,BTM16 16th Main BTM Layout ,CSB21 Central Silk Board (Towards Marathahalli),2,2,100.0,1,1,100.0
YHKOT-BDLUP,DVHOBS2 Devanahalli Old Bus Stand,MGDBDLP Maligenahalli Bidaluru,2,13,15.384616,98,137,71.532845
D10-KRPRSUP,KSTRR Kasthuri Nagara Ring Road,KRPRLY Railway Station KR Puram,3,4,75.0,2,2,100.0
BSK-VPCUP,BSKTTMC1 Banashankari TTMC,KTPR Kathriguppe,2,2,100.0,3,3,100.0
KGR-MTLNUP,MTKR Mattikere,MTNRC Muthyala Nagara Cross ,2,2,100.0,7,7,100.0
ELCWG-ELC-KVNUP,KNA Konappana Agarhara,HSRD Hosa Road (Towards Singsandra),2,2,100.0,1,1,100.0
JJN-D16UP,JJN1 Jaga Jeevan Ram Nagara,SRSC2 Sirsi Circle,2,2,100.0,4,4,100.0
HPN-BNWTDN,JOSPR1 Jn of Siddaiah Puranik Road,KWTRTNK Water Tank Kamalanagara,2,2,100.0,1,1,100.0
SBN-VVKUP,AUTTN Austin Town,VVKN Vivek Nagara,2,2,100.0,2,2,100.0
ORRCA-DNRUP,ORRCAQ CS-ORRCA-9 Qualcomm,SJRHS Sathya Sai Hospital,3,5,60.000004,41,55,74.545456
MDN-PSSDN,NHN1 Nagarahole Nagara,HGHMD Hegganahalli (Towards Peenya 2nd Stage),2,3,66.66667,15,16,93.75
SRN-ELCIIUP,SURNR Surya Nagara,CPR0 Chandapura (Towards Electronic City),2,2,100.0,4,4,100.0
293-A KLN-HMAUP,HNRCS Hennur Cross (Towards Hennur Bande),HMVA Horamavu Agara,2,2,100.0,5,5,100.0
D35-NMGUP,KRKLP Karekalpalya,NMG0 Nelamangala Bus Station,3,4,75.0,24,24,100.0
KBS-SMH 96AUP,KMKPL Kamakshipalya,SMH5 Summanahalli,5,5,100.0,1,1,100.0
PTH-BLRUP,NES1 NES Office,YHKSC1 Yelahanka Santhe Circle,2,2,100.0,7,7,100.0
SJP-BSK 500CFDN,BSJP Bellanduru Gate SJP Road ,JNAGR Agara (Towards Silk Board),2,2,100.0,2,2,100.0
D35-BKHUP,KDBGC Kadabagere Cross,MCH Machohalli,2,2,100.0,1,1,100.0
SNBS-PRM-KMTUP,POTB Poornima Talkies,KRM4 KR Market,2,2,100.0,22,22,100.0
HBL-VSDDN,ASWN1 Ashwath Nagara (Towards Gangenahalli),MKC1 Mekhri Circle,2,2,100.0,2,2,100.0
MRG-D10DN,MRPG Marappa Garden,KARCH1 Kacharakanahalli,2,2,100.0,1,1,100.0
ELC-WPRGUP,ELC2 Electronic City 378 ,ELCWG ELC Wipro Gate,2,2,100.0,4,4,100.0
V-505ADN,TPS2 Thippasandra,BEML BEML Gate (Towards CV Raman Nagara),2,4,50.0,1,1,100.0
PSS-MLSUP,NTTF NTTF Peenya,BGLC1 Bagalagunte (Towards Mallasandra),2,2,100.0,2,2,100.0
D38-HKRUP,D38CKHN Depot-38 Gate,HSKU Huskur (Towards Gattahalli),2,2,100.0,2,2,100.0
KLN-TSRUP,JONGWR Jn of Nagavara,TLBS Thanisandra,2,2,100.0,4,4,100.0
AKN-GJRUP,VRTBS1 Varthuru,GNGR Gunjuru (Towards Sarjapura),2,3,66.66667,3,4,75.0
LBM-BSKDN,VJCLG Vijaya College,BSKTTMC0 Banashankari TTMC,2,3,66.66667,13,18,72.22222
V-335EVUP,VYDHS White Field TTMC (Vydehi Hospital),ITL ITPL,3,20,15.000001,9,9,100.0
ORRCA-9-Cosmos-ITPLUP,ORRCAQ CS-ORRCA-9 Qualcomm,SJRHS Sathya Sai Hospital,3,4,75.0,13,15,86.666664
BPS-CLHUP,BOPSDST Bhoopasandra,HBL2 Hebbala (Towards 279E),2,2,100.0,1,1,100.0
D03-SBSUP,D03 Depot-03 Shanthinagara,SBS1 Shivajinagara Bus Station,3,3,100.0,20,28,71.42857
V-600NLUP,NGRCL Nagarabhavi Circle,ELCWG ELC Wipro Gate,3,5,60.000004,7,10,70.0
LGR-PSSDN,LGR Laggere New Bus Stand,RJPNGR1 Police Station Rajagopala Nagara,2,2,100.0,4,4,100.0
KRPGH-BMT10DN,KRPRST KR Puram Railway Station,RMNADM Ramamurthy Nagara Alada Mara,2,3,66.66667,2,2,100.0
BMT10-MKCUP,VRPC Veeranapalya,HBL1 Hebbala (Towards RM Guttahalli),2,2,100.0,1,1,100.0
MYH-SGHDN,MDWMK Madivala,CMLJ Carmel Convent Jayanagara,3,6,50.0,7,10,70.0
KLO-PPLODN,KML0 Kumaraswamy Layout,VSTPR Vasanthapura,2,2,100.0,1,1,100.0
MRHB-D34GTDN,BLKLLI Bilekahalli,HMGT Hulimavu Gate (Towards Meenakshi Temple),2,2,100.0,1,1,100.0
DBKL-PSSDN,NGDBS Nagasandra,JHC4 Jalahalli Cross,2,2,100.0,1,1,100.0
PTH-BSFUP,YHKSC1 Yelahanka Santhe Circle,VTHL1 Venkatala,2,2,100.0,2,2,100.0
TNF-MNKUP,DDNKD Dodda Nekkundi (Towards Marathahalli Bridge),KLMD12 Marathahalli Bridge,2,4,50.0,3,4,75.0
168-AUP,SDPY2 Sudduguntepalya,JBMN Jai Bheema Nagara,3,6,50.0,1,1,100.0
346-SUP,ELC3 Electronic City (Towards Attibele),WPRGT1 Wipro Gate Shikaripalya Cross,2,3,66.66667,7,8,87.5
ILO-JBSDN,BSKTTMC1 Banashankari TTMC,JTTMC Jayanagara TTMC,3,6,50.0,87,95,91.57895
PTH-YSTFUP,PTNHL1 Puttenahalli,YST5thPH 5th Phase Yalahanka New Town ,2,2,100.0,1,1,100.0
D10-ALHUP,JONGWR Jn of Nagavara,TLBSD Thanisandra,2,3,66.66667,32,44,72.72727
MRHB-BTPUP,HALMG1 HAL Main Gate (Towards NGEF),BEML BEML Gate (Towards CV Raman Nagara),2,2,100.0,6,6,100.0
KBS-BRHUP,MDLCR Medahalli Cross,HNDH1 Handenahalli,2,19,10.526316,1,1,100.0
248-ANDN,SRSC5 Sirsi Circle,KRMARK KR Market,2,2,100.0,3,3,100.0
YHK-NITTUP,NGNHl2 Nagenahalli,GNTH1 Gantaganahalli,2,2,100.0,1,1,100.0
JBN-MLO-YTTMCDN,MLO3 Mahalakshmi Layout,GVTSF Govt Soap Factory,2,2,100.0,1,1,100.0
BSK-CKAUP,MNTYP Monotype Corporation,CKA Channammanakere Achukattu,2,2,100.0,2,2,100.0
RJE-KBSUP,SJTR Sujatha Talkies,KBS123 Kempegowda Bus Station,2,3,66.66667,3,4,75.0
AGR-KMTDN,SJJNRC Sajjan Rao Circle,KMT1 KR Market (Kalasipalya),2,9,22.222223,1,1,100.0
V-61AUP,MGDTLG Magadi Road TollGate ,KBS123 Kempegowda Bus Station,2,2,100.0,1,1,100.0
GKVK-BPS-KBSDN,HBLB1 Hebbala Bridge (Towards BEL Circle),BOOOPS Bhoopasandra,2,2,100.0,1,1,100.0
SGH-BNBUP,JTTMC Jayanagara TTMC,BRNBJ Byrasandra New Bus Stand,2,2,100.0,2,2,100.0
VDP-PSSDN,GNG1 Gangamma Circle (Towards KG Halli Bridge),KGHB Kammagondanahalli Bridge,2,3,66.66667,1,1,100.0
PPLO-HKHUP,ITMD9 Ittamadu,HOSKER Hoskerehalli,2,2,100.0,8,8,100.0
HBL-SGH 285MUP,SNGHLG Singanayakanahalli Gate,SNKH1 Singanayakanahalli,2,2,100.0,1,1,100.0
BGPS-CSBUP,BGPS Beguru Govt Primary School,BMH3 Bommanahalli (Towards Central Central Silk Board),2,2,100.0,2,2,100.0
BPL SRN-DPJDN,INTAX Income Tax Layout,DPJN Deepanjali Nagara,3,3,100.0,5,5,100.0
CVRN-RMNFUP,CVRMGN CV Raman Nagara (Towards Benniganahalli),NGEF-1 NGEF Main Road,2,2,100.0,1,1,100.0
225UP,NDH Nayandahalli,RRT RR Temple,2,4,50.0,30,32,93.75
CVR-D06UP,CVRMGN CV Raman Nagara (Towards Benniganahalli),DEPO6 Depot-06 Gate,2,2,100.0,2,2,100.0
358UP,KAMPR Kambalipura,MYSSDR Mayasandra,2,20,10.0,1,1,100.0
KBS-NMG-GDPUP,NMG0 Nelamangala Bus Station,GNGRN1 Gangadarapalya,16,17,94.117645,3,4,75.0
ELCW-BMT19DN,ELCWG ELC Wipro Gate,ELC3 Electronic City (Towards Attibele),2,2,100.0,10,10,100.0
GDWC-BMTCUP,RMDC Richmond Circle,SNTTMC Shanthinagara TTMC,2,3,66.66667,1,1,100.0
BDD-GBHSUP,KBG2 Kumbalagodu,JOKMGT Jn of Kommaghatta,2,5,40.0,24,32,75.0
KDG-BTPDN,ITPL ITPL,BGH Benniganahalli,5,5,100.0,6,8,75.0
BSK-BSK3RD UP,KDHPRK Kadirenahalli Park,KTPR Kathriguppe,2,2,100.0,1,1,100.0
D06-DMRUP,KFCIPDR Police Station Indiranagara,DPOHLI Dhoopanahalli,2,3,66.66667,8,8,100.0
SJH-SRN UP,BLPR1 Billapura,ATBCR1 Attibele Circle (Towards Attibele Bus Stand),4,11,36.363636,8,8,100.0
327-KDN,KDTGT1 Kodathi Gate,DKKSJP Doddakannalli,3,6,50.0,11,15,73.333336
V-195UP,SBS0 Shivajinagara Bus Station,KBS1 Kempegowda Bus Station,3,3,100.0,28,28,100.0
5F-1UP,WEVRCL Weavers Colony,BTND Byatarayana Doddy,3,4,75.0,3,4,75.0
CLO-BMBS 244AUP,CLO Chandra Layout,NGRCL Nagarabhavi Circle,2,2,100.0,1,1,100.0
RTNPS-HBL BELUP,RTN12 Police Station RT Nagara ,HBLB1 Hebbala Bridge (Towards BEL Circle),2,2,100.0,1,1,100.0
PPLO-KMLUP,VSPL Vasanthapura,KML3 Kumaraswamy Layout,2,2,100.0,1,1,100.0
BTM-BSKDN,JDVHS1 Jayadeva Hospital,BSKTTMC0 Banashankari TTMC,3,3,100.0,37,41,90.2439
RJE-VSDDN,SJTR Sujatha Talkies,kcle Kodays Circle,2,2,100.0,16,16,100.0
DRP-ODCDN,RJKS1 Rajkumar Punya Bhoomi,LGRC Laggere Cross,2,2,100.0,1,1,100.0
RTNP-HBL-CJPUP,DVNG1 Devinagara Cross,BELC11 BEL Circle (Towards Gokula),2,3,66.66667,1,1,100.0
GLB-PSSDN,BGLG1 Bagalagunte (Towards 8th Mile),JHC4 Jalahalli Cross,2,2,100.0,3,3,100.0
210-GADN,RICHMD Richmond Circle,SBS1 Shivajinagara Bus Station,2,3,66.66667,5,6,83.33333
CVNR-KBSDN,KRBRHLL Kurubarahalli,HRSDG Harishchandra Ghat,2,2,100.0,1,1,100.0
BMT25-SNRUP,RGGD Ragigudda Temple,BSKTTMC1 Banashankari TTMC,2,3,66.66667,1,1,100.0
CSB-D6UP,MDWL1 Madivala,ASTWN Austin Town,2,2,100.0,1,1,100.0
STJONH-D38DN,AVLHIHSK Avalahalli Electronic City,HUSK Huskur (Towards Chikkanagamangala Gate),2,11,18.181818,1,1,100.0
96 BSN-KBSDN,SHTGT1 Industrial Town Rajajinagara ,KBS123 Kempegowda Bus Station,2,2,100.0,7,7,100.0
356CW INFOPLUP,SIA1 SI Apartment HSR Layout,ELCWG ELC Wipro Gate,2,2,100.0,821,821,100.0
D38-DNMDN,D38CHKNML Depot-38 Gate,CHIKNGL Chikka Nagamangala,2,2,100.0,1,1,100.0
119UP,SBS0 Shivajinagara Bus Station,MRPG Marappa Garden,4,4,100.0,726,1007,72.09534
RTNP-SMPUP,RTNPS1 Police Station RT Nagara ,MSH Manjushree Hospital,2,2,100.0,1,1,100.0
V-12DN,MNRVC Minerva Circle,KBS123 Kempegowda Bus Station,2,2,100.0,1,1,100.0
SWN-ORRCASUP,BTM16 16th Main BTM Layout ,ORRCA CS-ORRCA Salarpuria Soft Zone,2,2,100.0,1,1,100.0
ORRCAP-CSBDN,PTKP CS-Prestige Tech Park Kadabisanahalli,BLDR Bellanduru City Light Appartment ,3,4,75.0,80,91,87.91209
296-KUP,JONGWR Jn of Nagavara,TLBSD Thanisandra,2,2,100.0,2,2,100.0
121-BUP,SBS0 Shivajinagara Bus Station,KMT2 KR Market,4,5,80.0,161,218,73.85321
364-GDN,MNRVC Minerva Circle,KBS123 Kempegowda Bus Station,2,3,66.66667,9,11,81.818184
VJNT-NBVBUP,NBVC3 Nagarabhavi Circle,KNGNT Kengunte Circle,2,2,100.0,4,4,100.0
SCPS-DBSUP,KFCIPDR Police Station Indiranagara,DPNH Dhoopanahalli,2,2,100.0,18,18,100.0
VNS-VSLUP,HBLB1 Hebbala Bridge (Towards BEL Circle),GRGPLY Goraguntepalya (Towards Tumkur Road),3,3,100.0,11,15,73.333336
ELC-PDOVUP,ELC2 Electronic City 378 ,NLDRIN Neeladri Nagara,2,2,100.0,1,1,100.0
171-FDN,SNTTMC3 Shanthinagara TTMC,KBS123 Kempegowda Bus Station,2,2,100.0,5,5,100.0
YHP-YSTUP,NES NES Office,YST Yelahanka Satellite Town,2,2,100.0,7,7,100.0
NICE-5AUP,MARPLA Mariyappanapalya,ELCWG ELC Wipro Gate,3,5,60.000004,7,9,77.77778
V-61ADN,VJN1 Vijayanagara,VTTMC2 Vijayanagara TTMC,3,3,100.0,1,1,100.0
KMLS-SGHDN,KRSM2C West Cross Kumaraswamy Layout,BSKTTMC1 Banashankari TTMC,2,2,100.0,2,2,100.0
NBMS-KRPRSUP,SVMS Swamy Vivekananda Metro Station,BGH-1 Benniganahalli,2,2,100.0,4,4,100.0
JBS-KMLUP,JTTMC Jayanagara TTMC,BSK Banashankari Bus Station (Towards Kadirenahalli),2,3,66.66667,3,4,75.0
356CW INFOPLDN,BMH4 Bommanahalli (Towards St Johns),HSRA2 SI Apartment HSR Layout,3,5,60.000004,2,2,100.0
SKT-YBS401MUP,RMCY1 RMC Yard (Yashawanthapura New Railway Station),YTTMC Yashawanthapura TTMC,2,5,40.0,1,1,100.0
JHV-PTHDN,BELC BEL Circle (Towards Gangamma Circle),MSPY MS Palya,3,3,100.0,20,28,71.42857
BMT10-HBL-KBSUP,NAGJN Jn of Nagawara,HBL5 Hebbala (Towards Mekhri Circle),3,3,100.0,10,13,76.92308
375-D BABAS-BSKUP,KDRNH Kadirenahalli,BSKTTMC0 Banashankari TTMC,2,7,28.57143,18,24,75.0
HLG-SRNDN,HLGE Heelalige,CPR1 Chandapura (Towards Anekal),2,2,100.0,1,1,100.0
RTNP-TTNUP,RTN12 Police Station RT Nagara ,HBL Hebbala (Towards Yalahanka),2,2,100.0,1,1,100.0
80-CUP,NLO1 Nandini Layout Bus Stand,RKN Ramakrishna Nagara,2,2,100.0,6,6,100.0
SJP-D25DN,DKKSJP Doddakannalli,JNAGR Agara (Towards Silk Board),2,2,100.0,1,1,100.0
SNBS-LBG-KMTUP,LBGHG Lalbagh Main Gate,KRM4 KR Market,2,3,66.66667,37,48,77.08333
JP6-SGHDN,JNGR5 5th Block Jayanagara (Towards Jayanagara),SJNDHOP Sanjay Gandhi Hospital,2,3,66.66667,1,1,100.0
VGN-KBS 242BDN,MGDTLG Magadi Road TollGate ,KBS123 Kempegowda Bus Station,3,3,100.0,4,4,100.0
KBS-KRRUP,KBS1 Kempegowda Bus Station,SBST Shivajinagara Bus station,3,3,100.0,28,40,70.0
ELO-SGHDN,RVDC RV Dental College,SJNDHOP Sanjay Gandhi Hospital,2,2,100.0,1,1,100.0
JSD-D13DN,JSD2 Jambu Savari Dinne,KKC1 Konanakunte Cross,2,2,100.0,1,1,100.0
SBS-VNSUP,RTN12 Police Station RT Nagara ,HBL Hebbala (Towards Yalahanka),2,2,100.0,1,1,100.0
YTTMC-BRCDN,YTTMC Yashawanthapura TTMC,RLYSM Railway Station Malleshwaram,2,2,100.0,1,1,100.0
KRPRS-KLKCUP,KRPRLY Railway Station KR Puram,ITICG ITI Colony Gate,2,3,66.66667,38,39,97.4359
KMP-PSSDN,CKB Chikka Banavara (Towards 8th Mile),JHC4 Jalahalli Cross,2,2,100.0,4,4,100.0
171-FUP,MHC Maharanis College,SNTTMC Shanthinagara TTMC,2,3,66.66667,1,1,100.0
ELCW-D38UP,ELCWG ELC Wipro Gate,ELC1 Electronic City 378 (Towards Electronic City),2,2,100.0,24,24,100.0
KBS-SMH88UP,SJT1 Sujatha Talkies,PVTRAP Havanur Circle (Towards Unani Hospital),3,4,75.0,3,4,75.0
BEML5-KMBUP,KGR8 Kengeri,BSVN1 Basavanagara Kengeri,2,2,100.0,1,1,100.0
V-317AUP,HLS1 Halasuru,KRPM-1 KR Puram Market,3,3,100.0,1,1,100.0
D31G-JTS G-7UP,GLH7 Gollarahatti (Towards Tavarakere),JPT1 Janapriya Township,2,4,50.0,3,4,75.0
311-FDN,HLS Halasuru,SBS1 Shivajinagara Bus Station,3,3,100.0,21,27,77.77778
KRBH-KDGDN,HRSDG Harishchandra Ghat,KBS123 Kempegowda Bus Station,2,2,100.0,1,1,100.0
PPLO-CRLUP,UTRCL Uttarahalli Circle,MHSMD Mahesh Medicals,2,2,100.0,1,1,100.0
D-34 GATE-BVHUP,BSPRG Basavanapura Gate,BLVRDHLI Bilavaradahalli,3,4,75.0,1,1,100.0
CRL-BEML5DN,UTRC Uttarahalli Circle,CHNDRK Channasandra (Towards Kengeri),2,2,100.0,3,3,100.0
LTU-KBSUP,KRC2 KR Circle,KBS123 Kempegowda Bus Station,2,2,100.0,28,28,100.0
HRHCR-KBSUP,MGDTLG Magadi Road TollGate ,KBS123 Kempegowda Bus Station,3,3,100.0,5,7,71.42857
KBS-VSD-NGVUP,MHC Maharanis College,WGPC Wilson Garden Police Station,2,3,66.66667,1,1,100.0
DRP-YBS80RUP,NLO1 Nandini Layout Bus Stand,GVTSF Govt Soap Factory,2,3,66.66667,21,24,87.5
