Route_name,Source,Destination,No_of_Stops_between_Source_to_Dest_including_Src_and_Dest,Total_number_of_Bus_Stops,Percentage_of_Bus_Stops_in_between,Maximum_number_of_Tickets_Sold,Total_Tickets_Sold,Pecentage_of_Tickets_Sold
D34-KCHUP,D34GT Depot-34 Gate,HMG Hulimavu Gate (Towards Jayadeva Hospital),2,2,100.0,1,1,100.0
KRP-TNF-CHLSUP,GDLH Geddalahalli (Towards Byrathi Bande),KOTNR Kothanuru ,2,6,33.333336,1,1,100.0
PTH-JakkuruUP,PTNHL1 Puttenahalli,NES1 NES Office,2,2,100.0,1,1,100.0
JVS-BSKUP,KDRNH Kadirenahalli,BSKTTMC1 Banashankari TTMC,2,5,40.0,43,61,70.491806
MTH-VNCDN,MTTHC1 Mattahalli Cross,MKLC1 Makali Cross,2,3,66.66667,3,5,60.000004
RJP-JAPCDN,STHNYKL Seethanayakanahalli,HRGDD Haragadde,2,4,50.0,1,2,50.0
129DN,SBS0 Shivajinagara Bus Station,KBS123 Kempegowda Bus Station,4,4,100.0,1758,1761,99.82964
V-600KDN,BTM16th 16th Main BTM Layout ,KMT13 Depot-13 Gate,4,5,80.0,2,4,50.0
502EDN,BELCR2 BEL Circle (Towards Hebbala),HBLB1 Hebbala Bridge (Towards BEL Circle),3,6,50.0,4,7,57.14286
V-319CTUP,KBS1 Kempegowda Bus Station,KRPRLY Railway Station KR Puram,6,6,100.0,10,19,52.63158
600KDUP,ELC2 Electronic City 378 ,ELCWG ELC Wipro Gate,2,2,100.0,5,5,100.0
D-34 GATE-YLHDN,AECSDENTAL AECS Dental College,YLNHLI Yelenahalli,2,3,66.66667,2,3,66.66667
DBS-D06DN,BOPBSTP Dhoopanahalli,kfcps2 Police Station Indiranagara,2,4,50.0,28,38,73.68421
JHC-VNSUP,BELCRL BEL Circle (Towards Mathikere),DVNRA Devinagara,2,4,50.0,3,3,100.0
MMS-YTTMCUP,MLLSRM 11th Cross Malleshwaram ,YTTMC Yashawanthapura TTMC,2,2,100.0,36,36,100.0
KIAS-5CUP,JTTMC Jayanagara TTMC,KIAS Kempegowda International Airport,6,6,100.0,9,13,69.230774
342-LDN,LKS1 Lakkasandra,KMT1 KR Market (Kalasipalya),3,20,15.000001,27,49,55.10204
171-CDN,PLT Pallavi Talkies,KBS123 Kempegowda Bus Station,2,4,50.0,17,27,62.96296
MEBP-HAL DN,KSTRR Kasthuri Nagara Ring Road,MTHB Marathahalli Bridge,5,5,100.0,2,4,50.0
PSS-PBSUP,NTTF NTTF Peenya,JHC3 Jalahalli Cross,2,2,100.0,4,4,100.0
JGN-SSPLFUP,MNTPACRO Mantapa Cross,BGTC Bannerughatta Circle (Towards Basavanapura),2,5,40.0,4,7,57.14286
TAT-PSSDN,MRSNF Marison Factory,JHC4 Jalahalli Cross,2,2,100.0,1,1,100.0
TDL-VNSUP,KDL Kodigehalli,ESTML2 Military Dairy Farm,2,2,100.0,1,1,100.0
MBS-24DN,KTPR Kathriguppe,NDH Nayandahalli,3,12,25.0,2,4,50.0
CVN-BSNDN,KVRNGR Cauvery Nagara,KML1 Market Kamalanagara,2,2,100.0,1,1,100.0
CVN-SMHDN,KMKPL Kamakshipalya,SMH4 Summanahalli,5,5,100.0,2,2,100.0
SVMS-D06DN,ISOLH Isolation Hospital,DEPO6 Depot-06 Gate,2,2,100.0,1,1,100.0
NAL-DRDO2DN,HALMG HAL Main Gate (Towards Marathahalli Bridge),BVSBS Basavanagara ,2,2,100.0,1,1,100.0
ELC-WPRUP,ELCCITY Electronic City (Towards Shantipura),ELCWG ELC Wipro Gate,3,3,100.0,13,14,92.85714
NBDA-KHB-SBSUP,MGDTLG Magadi Road TollGate ,MHC Maharanis College,3,4,75.0,1,1,100.0
AKN-CSBDN,BTM16 16th Main BTM Layout ,CSB21 Central Silk Board (Towards Marathahalli),2,2,100.0,1,1,100.0
YHKOT-BDLUP,DVHOBS2 Devanahalli Old Bus Stand,MGDBDLP Maligenahalli Bidaluru,2,13,15.384616,98,137,71.532845
D10-KRPRSUP,KSTRR Kasthuri Nagara Ring Road,KRPRLY Railway Station KR Puram,3,4,75.0,2,2,100.0
CRN-365UP,MHC Maharanis College,HMGT Hulimavu Gate (Towards Meenakshi Temple),2,4,50.0,1,2,50.0
SKP-D38DN,ELC3 Electronic City (Towards Attibele),D38CKHN Depot-38 Gate,4,4,100.0,2,3,66.66667
BSK-VPCUP,BSKTTMC1 Banashankari TTMC,KTPR Kathriguppe,2,2,100.0,3,3,100.0
KNRU-SMHSDN,KNRU1 Kannuru,BRTHBD Byrathi Bande,2,3,66.66667,5,8,62.5
360-HDN,LKS1 Lakkasandra,KMT1 KR Market (Kalasipalya),3,22,13.636364,22,38,57.894737
12-EDN,BSKTTMC1 Banashankari TTMC,KBS123 Kempegowda Bus Station,5,5,100.0,248,473,52.43129
239-DUP,KMT2 KR Market,SRSC Sirsi Circle,2,3,66.66667,2,4,50.0
TGP-D-16-243CUP,ADH0 Andhrahalli,SKDKT1 Sunkadakatte,2,5,40.0,5,10,50.0
KGR-MTLNUP,MTKR Mattikere,MTNRC Muthyala Nagara Cross ,2,2,100.0,7,7,100.0
ELCWG-ELC-KVNUP,KNA Konappana Agarhara,HSRD Hosa Road (Towards Singsandra),2,2,100.0,1,1,100.0
JJN-D16UP,JJN1 Jaga Jeevan Ram Nagara,SRSC2 Sirsi Circle,2,2,100.0,4,4,100.0
HPN-BNWTDN,JOSPR1 Jn of Siddaiah Puranik Road,KWTRTNK Water Tank Kamalanagara,2,2,100.0,1,1,100.0
SBN-VVKUP,AUTTN Austin Town,VVKN Vivek Nagara,2,2,100.0,2,2,100.0
V-505AUP,CVRMG1 CV Raman Nagara (Towards DRDO Quarters),TPS1 Thippasandra,2,6,33.333336,1,2,50.0
PRCR-KMTDN,Corpo Corporation (Towards KR Market),KRM4 KR Market,2,13,15.384616,5,10,50.0
240-ADN,MHC Maharanis College,SBS1 Shivajinagara Bus Station,2,5,40.0,2,3,66.66667
EYG-HBLUP,MDPRA Mahadevapura,KASTN Kasthuri Nagara Ring Road,3,9,33.333336,1,2,50.0
ORRCA-DNRUP,ORRCAQ CS-ORRCA-9 Qualcomm,SJRHS Sathya Sai Hospital,3,5,60.000004,41,55,74.545456
MDN-PSSDN,NHN1 Nagarahole Nagara,HGHMD Hegganahalli (Towards Peenya 2nd Stage),2,3,66.66667,15,16,93.75
SRN-ELCIIUP,SURNR Surya Nagara,CPR0 Chandapura (Towards Electronic City),2,2,100.0,4,4,100.0
PTH-MTHUP,YHKSAC Yelahanka Santhe Circle,MTHC3 Mittaganahalli Cross,5,5,100.0,5,8,62.5
MF-13UP,VJN Vijayanagara,SNPLY Srinivasa Nagara PattegarPalya ,13,13,100.0,358,625,57.28
BSK-SKTSUP,BSKTTMC1 Banashankari TTMC,RGD Ragigudda Temple,2,4,50.0,8,13,61.538464
KLNB-MGMSUP,KLNB Kalyananagara Bus Stand,CLRNS Clarence School (Towards Frazer Town),2,5,40.0,1,2,50.0
SRN-MCTC-DPNUP,CHRP Chamarajapet (Towards TR Mill),SCRLE Sirsi Circle,2,3,66.66667,17,27,62.96296
293-A KLN-HMAUP,HNRCS Hennur Cross (Towards Hennur Bande),HMVA Horamavu Agara,2,2,100.0,5,5,100.0
CRL-BSKDN,MSHM Mahesh Medicals,KDRNH Kadirenahalli,2,3,66.66667,1,2,50.0
D35-NMGUP,KRKLP Karekalpalya,NMG0 Nelamangala Bus Station,3,4,75.0,24,24,100.0
KBS-SMH 96AUP,KMKPL Kamakshipalya,SMH5 Summanahalli,5,5,100.0,1,1,100.0
PTH-BLRUP,NES1 NES Office,YHKSC1 Yelahanka Santhe Circle,2,2,100.0,7,7,100.0
SJP-BSK 500CFDN,BSJP Bellanduru Gate SJP Road ,JNAGR Agara (Towards Silk Board),2,2,100.0,2,2,100.0
D35-BKHUP,KDBGC Kadabagere Cross,MCH Machohalli,2,2,100.0,1,1,100.0
SNBS-PRM-KMTUP,POTB Poornima Talkies,KRM4 KR Market,2,2,100.0,22,22,100.0
HBL-VSDDN,ASWN1 Ashwath Nagara (Towards Gangenahalli),MKC1 Mekhri Circle,2,2,100.0,2,2,100.0
V-201RBUP,MDWL1 Madivala,krmsyw80 Sony World 80ft Road  Koramangala,3,7,42.857143,3,6,50.0
MRG-D10DN,MRPG Marappa Garden,KARCH1 Kacharakanahalli,2,2,100.0,1,1,100.0
ELC-WPRGUP,ELC2 Electronic City 378 ,ELCWG ELC Wipro Gate,2,2,100.0,4,4,100.0
79-BUP,RJB Raj Bhavan,SWSTK1 Swastik Sheshadripuram College ,2,4,50.0,11,17,64.70589
V-505ADN,TPS2 Thippasandra,BEML BEML Gate (Towards CV Raman Nagara),2,4,50.0,1,1,100.0
PSS-MLSUP,NTTF NTTF Peenya,BGLC1 Bagalagunte (Towards Mallasandra),2,2,100.0,2,2,100.0
BSK-KMLUP,BSKTTMC1 Banashankari TTMC,KML0 Kumaraswamy Layout,3,3,100.0,7,13,53.846157
SBS-YTTMC 100UP,SBS0 Shivajinagara Bus Station,YTTMC Yashawanthapura TTMC,6,6,100.0,38,66,57.575756
IAF-PTHDN,VTHL Venkatala,YHKSC Yelahanka Santhe Circle,2,3,66.66667,10,15,66.66667
225AB KMTUP,NDH Nayandahalli,RRT RR Temple,2,8,25.0,18,36,50.0
ELCW-SMPBSUP,HSRD Hosa Road (Towards Singsandra),BTM16th 16th Main BTM Layout ,2,4,50.0,2,3,66.66667
MTL-VRPUP,BLGC2 Nagaland Circle,VRP Vidyaranyapura Bus Station,3,4,75.0,4,8,50.0
KBS-ANMSPUP,MLLSRM 11th Cross Malleshwaram ,YPRTG TollGate Yeshwanthapura,2,6,33.333336,3,6,50.0
JMML-KMTDN,CRLST Cantonment Railway Station,KRMC1 KR Market,4,4,100.0,24,37,64.86486
D31G-KBMUP,KTP Kottigepalya,PPDRP Papareddypalya,2,3,66.66667,1,2,50.0
D38-HKRUP,D38CKHN Depot-38 Gate,HSKU Huskur (Towards Gattahalli),2,2,100.0,2,2,100.0
ACSH-YHKOTUP,RKHGD RK Hegde Nagara,YHK Yelahanka Old Town,4,4,100.0,4,7,57.14286
KLN-TSRUP,JONGWR Jn of Nagavara,TLBS Thanisandra,2,2,100.0,4,4,100.0
AKN-GJRUP,VRTBS1 Varthuru,GNGR Gunjuru (Towards Sarjapura),2,3,66.66667,3,4,75.0
NITT-YHKOTDN,NGNH1 Nagenahalli Gate,NES1 NES Office,4,5,80.0,37,61,60.65574
325 KBSDN,CPPV Pallavi Talkies,KBS123 Kempegowda Bus Station,2,14,14.285715,5,9,55.555557
KBS-AJJRUP,MDWMK Madivala,KDG Kudlu Gate,3,8,37.5,5,10,50.0
LBM-BSKDN,VJCLG Vijaya College,BSKTTMC0 Banashankari TTMC,2,3,66.66667,13,18,72.22222
YTTMC-MYHUP,HRSDG Harishchandra Ghat,SWK Swastik Sheshadripuram College ,2,6,33.333336,2,3,66.66667
V-335EVUP,VYDHS White Field TTMC (Vydehi Hospital),ITL ITPL,3,20,15.000001,9,9,100.0
ORRCA-9-Cosmos-ITPLUP,ORRCAQ CS-ORRCA-9 Qualcomm,SJRHS Sathya Sai Hospital,3,4,75.0,13,15,86.666664
BPS-CLHUP,BOPSDST Bhoopasandra,HBL2 Hebbala (Towards 279E),2,2,100.0,1,1,100.0
D03-SBSUP,D03 Depot-03 Shanthinagara,SBS1 Shivajinagara Bus Station,3,3,100.0,20,28,71.42857
V-600NLUP,NGRCL Nagarabhavi Circle,ELCWG ELC Wipro Gate,3,5,60.000004,7,10,70.0
MSP-SBS290JUP,THNSN1 Thanisandra,NGW1 Nagavara,2,3,66.66667,6,12,50.0
LGR-PSSDN,LGR Laggere New Bus Stand,RJPNGR1 Police Station Rajagopala Nagara,2,2,100.0,4,4,100.0
CAPGADR-KDGUP,HODC2 Hoodi (Towards Hope Farm),PTAGC Pattandur Agrahara Gate,2,5,40.0,86,151,56.953644
KRPGH-BMT10DN,KRPRST KR Puram Railway Station,RMNADM Ramamurthy Nagara Alada Mara,2,3,66.66667,2,2,100.0
KML-SGHDN,BSKTTMC1 Banashankari TTMC,SJNDHOP Sanjay Gandhi Hospital,2,4,50.0,79,151,52.317883
SGH-CSBSUP,JBS4thB Jayanagara 4th Block,BSKTTMC0 Banashankari TTMC,2,5,40.0,18,28,64.28571
BMT10-MKCUP,VRPC Veeranapalya,HBL1 Hebbala (Towards RM Guttahalli),2,2,100.0,1,1,100.0
MYH-SGHDN,MDWMK Madivala,CMLJ Carmel Convent Jayanagara,3,6,50.0,7,10,70.0
KLO-PPLODN,KML0 Kumaraswamy Layout,VSTPR Vasanthapura,2,2,100.0,1,1,100.0
VRP-SMH 502VDN,VRP Vidyaranyapura Bus Station,MSPY1 MS Palya,2,5,40.0,2,4,50.0
D40 CR-NGRUP,D40C2 Depot-40 Cross,MNTLO Mantri Layout,2,3,66.66667,3,5,60.000004
MRHB-D34GTDN,BLKLLI Bilekahalli,HMGT Hulimavu Gate (Towards Meenakshi Temple),2,2,100.0,1,1,100.0
DBKL-PSSDN,NGDBS Nagasandra,JHC4 Jalahalli Cross,2,2,100.0,1,1,100.0
PTH-BSFUP,YHKSC1 Yelahanka Santhe Circle,VTHL1 Venkatala,2,2,100.0,2,2,100.0
TNF-MNKUP,DDNKD Dodda Nekkundi (Towards Marathahalli Bridge),KLMD12 Marathahalli Bridge,2,4,50.0,3,4,75.0
BSK-CAPGRUP,DND12 Dodda Nekkundi (Towards Hebbala),MDPRG1 Mahadevapura Ring Road,2,3,66.66667,3,5,60.000004
KDTG-TNFUP,CLA Bellanduru,MTHMTH Multiplex Marathahalli,3,3,100.0,33,64,51.5625
V-333WUP,BSJP1 Bellanduru Gate SJP Road ,KAIK1 Kaikondrahalli,3,11,27.272728,1,2,50.0
168-AUP,SDPY2 Sudduguntepalya,JBMN Jai Bheema Nagara,3,6,50.0,1,1,100.0
VBL-SGHDN,BLKLI Bilekahalli,JEE1 East End Jayanagara (Towards JD Mara),2,3,66.66667,9,18,50.0
HSRBDA-D32-FLYDN,SIA1 SI Apartment HSR Layout,CPR Chandapura (Towards Attibele),4,4,100.0,5,10,50.0
CAPG-YLKOTUP,BRP Byatarayanapura (Towards Yalahanka),YHK Yelahanka Old Town,14,14,100.0,8,15,53.333336
346-SUP,ELC3 Electronic City (Towards Attibele),WPRGT1 Wipro Gate Shikaripalya Cross,2,3,66.66667,7,8,87.5
ILO-JBSDN,BSKTTMC1 Banashankari TTMC,JTTMC Jayanagara TTMC,3,6,50.0,87,95,91.57895
PTH-YSTFUP,PTNHL1 Puttenahalli,YST5thPH 5th Phase Yalahanka New Town ,2,2,100.0,1,1,100.0
D10-ALHUP,JONGWR Jn of Nagavara,TLBSD Thanisandra,2,3,66.66667,32,44,72.72727
PSS-KTNHUP,SKK Sunkadakatte,BDH2 Byadarahalli (Towards Gollarahatti),2,4,50.0,9,13,69.230774
MRHB-BTPUP,HALMG1 HAL Main Gate (Towards NGEF),BEML BEML Gate (Towards CV Raman Nagara),2,2,100.0,6,6,100.0
SNBS-KBSUP,PLT Pallavi Talkies,KBS123 Kempegowda Bus Station,3,4,75.0,148,267,55.43071
KBS-BRHUP,MDLCR Medahalli Cross,HNDH1 Handenahalli,2,19,10.526316,1,1,100.0
PPLO-KTG-CKAUP,ITMD9 Ittamadu,KTGP Kathriguppe,2,3,66.66667,10,17,58.823532
SDP-CSBDN,KRPRLY Railway Station KR Puram,CSB1 Central Silk Board (Towards BTM Layout),4,7,57.14286,3,5,60.000004
248-ANDN,SRSC5 Sirsi Circle,KRMARK KR Market,2,2,100.0,3,3,100.0
YHK-NITTUP,NGNHl2 Nagenahalli,GNTH1 Gantaganahalli,2,2,100.0,1,1,100.0
GNP-MRHB502AUP,ALD1 Alisda,BELCR2 BEL Circle (Towards Hebbala),9,10,90.0,2,3,66.66667
JBN-MLO-YTTMCDN,MLO3 Mahalakshmi Layout,GVTSF Govt Soap Factory,2,2,100.0,1,1,100.0
BSK-CKAUP,MNTYP Monotype Corporation,CKA Channammanakere Achukattu,2,2,100.0,2,2,100.0
RJE-KBSUP,SJTR Sujatha Talkies,KBS123 Kempegowda Bus Station,2,3,66.66667,3,4,75.0
CSBS-BSKDN,CKBS1 Chikkallasandra,BSKTTMC0 Banashankari TTMC,3,3,100.0,10,18,55.555557
AGR-KMTDN,SJJNRC Sajjan Rao Circle,KMT1 KR Market (Kalasipalya),2,9,22.222223,1,1,100.0
SNBS-JPF1UP,LBGMT Lalbagh Main Gate,VJCLG Vijaya College,2,3,66.66667,2,4,50.0
PNN-RVCLUP,PESC3 PES College,NDH Nayandahalli,2,4,50.0,10,20,50.0
287-JUP,SVNDS Shivananda Store,HBL Hebbala (Towards Yalahanka),3,4,75.0,1,2,50.0
KIAS-8AUP,NAGJN Jn of Nagawara,HBLB Hebbala Bridge (Towards Bhadrappa Layout),4,19,21.052631,5,8,62.5
V-61AUP,MGDTLG Magadi Road TollGate ,KBS123 Kempegowda Bus Station,2,2,100.0,1,1,100.0
GKVK-BPS-KBSDN,HBLB1 Hebbala Bridge (Towards BEL Circle),BOOOPS Bhoopasandra,2,2,100.0,1,1,100.0
SGH-BNBUP,JTTMC Jayanagara TTMC,BRNBJ Byrasandra New Bus Stand,2,2,100.0,2,2,100.0
VDP-PSSDN,GNG1 Gangamma Circle (Towards KG Halli Bridge),KGHB Kammagondanahalli Bridge,2,3,66.66667,1,1,100.0
D06-JBNUP,KFCPS Police Station Indiranagara ,JVBN Jeevanbheema Nagara,3,4,75.0,117,226,51.769913
PPLO-HKHUP,ITMD9 Ittamadu,HOSKER Hoskerehalli,2,2,100.0,8,8,100.0
ADT-BMHUP,YHKSC1 Yelahanka Santhe Circle,HNSM1 Hunasamaranahalli,3,4,75.0,7,14,50.0
241-DUP,MGD1C 1st Cross Magadi Road,BTS1 Bharath Nagara 1st Phase,5,5,100.0,1,2,50.0
KTGP-YSTFUP,MDF Military Dairy Farm,BRP Byatarayanapura (Towards Yalahanka),3,8,37.5,6,11,54.545456
CVB-BRTN 241DUP,MGDTG Magadi Road TollGate ,KHB KHB Colony,2,5,40.0,2,4,50.0
HBL-SGH 285MUP,SNGHLG Singanayakanahalli Gate,SNKH1 Singanayakanahalli,2,2,100.0,1,1,100.0
BGPS-CSBUP,BGPS Beguru Govt Primary School,BMH3 Bommanahalli (Towards Central Central Silk Board),2,2,100.0,2,2,100.0
BPL SRN-DPJDN,INTAX Income Tax Layout,DPJN Deepanjali Nagara,3,3,100.0,5,5,100.0
CVRN-RMNFUP,CVRMGN CV Raman Nagara (Towards Benniganahalli),NGEF-1 NGEF Main Road,2,2,100.0,1,1,100.0
225UP,NDH Nayandahalli,RRT RR Temple,2,4,50.0,30,32,93.75
CVR-D06UP,CVRMGN CV Raman Nagara (Towards Benniganahalli),DEPO6 Depot-06 Gate,2,2,100.0,2,2,100.0
358UP,KAMPR Kambalipura,MYSSDR Mayasandra,2,20,10.0,1,1,100.0
KBS-NMG-GDPUP,NMG0 Nelamangala Bus Station,GNGRN1 Gangadarapalya,16,17,94.117645,3,4,75.0
KMT-JNNUP,KRMT1 KR Market,JBS4th Jayanagara 4th Block,4,6,66.66667,31,52,59.615387
SVG-ARC-PSSUP,JPA11 Janapriya Apartment,JHC4 Jalahalli Cross,3,4,75.0,4,7,57.14286
ELCW-BMT19DN,ELCWG ELC Wipro Gate,ELC3 Electronic City (Towards Attibele),2,2,100.0,10,10,100.0
GDWC-BMTCUP,RMDC Richmond Circle,SNTTMC Shanthinagara TTMC,2,3,66.66667,1,1,100.0
BDD-GBHSUP,KBG2 Kumbalagodu,JOKMGT Jn of Kommaghatta,2,5,40.0,24,32,75.0
KDG-BTPDN,ITPL ITPL,BGH Benniganahalli,5,5,100.0,6,8,75.0
BSK-BSK3RD UP,KDHPRK Kadirenahalli Park,KTPR Kathriguppe,2,2,100.0,1,1,100.0
D06-DMRUP,KFCIPDR Police Station Indiranagara,DPOHLI Dhoopanahalli,2,3,66.66667,8,8,100.0
SJH-SRN UP,BLPR1 Billapura,ATBCR1 Attibele Circle (Towards Attibele Bus Stand),4,11,36.363636,8,8,100.0
KGR-GKWLUP,ATGP Attiguppe (Towards Vijayanagara),GKW GKW Layout,2,4,50.0,2,3,66.66667
SRP-PTHDN,SRMPR Sri Ramapura,ALSGT Allalasandra Gate (Towards Yalahanka),2,3,66.66667,1,2,50.0
327-KDN,KDTGT1 Kodathi Gate,DKKSJP Doddakannalli,3,6,50.0,11,15,73.333336
V-195UP,SBS0 Shivajinagara Bus Station,KBS1 Kempegowda Bus Station,3,3,100.0,28,28,100.0
KBS-MEBPUP,SVNDS Shivananda Store,HBL Hebbala (Towards Yalahanka),2,3,66.66667,4,6,66.66667
GKVK-KHBDN,MODIH Modi Hospital,HVNRCR1 Havanur Circle (Towards KHB Colony),12,14,85.71429,13,26,50.0
5F-1UP,WEVRCL Weavers Colony,BTND Byatarayana Doddy,3,4,75.0,3,4,75.0
CLO-BMBS 244AUP,CLO Chandra Layout,NGRCL Nagarabhavi Circle,2,2,100.0,1,1,100.0
BSN-KBS-88ADN,SHL4 Shivanahalli 4th Main,KBS123 Kempegowda Bus Station,3,4,75.0,209,398,52.51256
RTNPS-HBL BELUP,RTN12 Police Station RT Nagara ,HBLB1 Hebbala Bridge (Towards BEL Circle),2,2,100.0,1,1,100.0
PPLO-KMLUP,VSPL Vasanthapura,KML3 Kumaraswamy Layout,2,2,100.0,1,1,100.0
BTM-BSKDN,JDVHS1 Jayadeva Hospital,BSKTTMC0 Banashankari TTMC,3,3,100.0,37,41,90.2439
296-KDN,RKHEGD RK Hegde Nagara,TLBS Thanisandra,2,3,66.66667,1,2,50.0
RJE-VSDDN,SJTR Sujatha Talkies,kcle Kodays Circle,2,2,100.0,16,16,100.0
DRP-ODCDN,RJKS1 Rajkumar Punya Bhoomi,LGRC Laggere Cross,2,2,100.0,1,1,100.0
227-MUP,KLMGL Guddahalli,MGDI Magadi,4,24,16.666668,3,5,60.000004
MRHB-ORRCASUP,MTDHB3 Marathahalli Bridge,BLDR Bellanduru City Light Appartment ,3,3,100.0,2,3,66.66667
RTNP-HBL-CJPUP,DVNG1 Devinagara Cross,BELC11 BEL Circle (Towards Gokula),2,3,66.66667,1,1,100.0
GLB-PSSDN,BGLG1 Bagalagunte (Towards 8th Mile),JHC4 Jalahalli Cross,2,2,100.0,3,3,100.0
210-GADN,RICHMD Richmond Circle,SBS1 Shivajinagara Bus Station,2,3,66.66667,5,6,83.33333
CVNR-KBSDN,KRBRHLL Kurubarahalli,HRSDG Harishchandra Ghat,2,2,100.0,1,1,100.0
360 ATB-D38UP,ATBL Attibele Circle (Towards Yadavanahalli),YDVNHL Yadavanahalli,2,6,33.333336,2,4,50.0
BSN-CLOUP,VJN1 Vijayanagara,CLO1 Chandra Layout Cirlce,2,3,66.66667,3,5,60.000004
BMT25-SNRUP,RGGD Ragigudda Temple,BSKTTMC1 Banashankari TTMC,2,3,66.66667,1,1,100.0
201-HADN,VVKN2 Vivek Nagara,SYWD3 Sony World 80ft Road  Koramangala,2,5,40.0,18,31,58.064514
BNP-D34 GateDN,KALR Kalkere,BSNG Basavanapura Gate,2,5,40.0,2,3,66.66667
CSB-D6UP,MDWL1 Madivala,ASTWN Austin Town,2,2,100.0,1,1,100.0
STJONH-D38DN,AVLHIHSK Avalahalli Electronic City,HUSK Huskur (Towards Chikkanagamangala Gate),2,11,18.181818,1,1,100.0
96 BSN-KBSDN,SHTGT1 Industrial Town Rajajinagara ,KBS123 Kempegowda Bus Station,2,2,100.0,7,7,100.0
356CW INFOPLUP,SIA1 SI Apartment HSR Layout,ELCWG ELC Wipro Gate,2,2,100.0,821,821,100.0
D38-DNMDN,D38CHKNML Depot-38 Gate,CHIKNGL Chikka Nagamangala,2,2,100.0,1,1,100.0
119UP,SBS0 Shivajinagara Bus Station,MRPG Marappa Garden,4,4,100.0,726,1007,72.09534
RTNP-SMPUP,RTNPS1 Police Station RT Nagara ,MSH Manjushree Hospital,2,2,100.0,1,1,100.0
V-12DN,MNRVC Minerva Circle,KBS123 Kempegowda Bus Station,2,2,100.0,1,1,100.0
SBS-JDVHUP,SBS0 Shivajinagara Bus Station,BDC Bengaluru Dairy Circle (Towards Bannerughatta),3,3,100.0,3,5,60.000004
SWN-ORRCASUP,BTM16 16th Main BTM Layout ,ORRCA CS-ORRCA Salarpuria Soft Zone,2,2,100.0,1,1,100.0
JNVES-JHCUP,IAHF1 Indo American Hybrid Farm,KGR2 Kengeri TTMC,3,3,100.0,27,52,51.923077
GRN-BSKDN,HOSKRE Hoskerehalli Cross,BSK3SBSK3P Banashankari 3rd Stage 3rd Phase (Towards Banashankari),2,4,50.0,4,7,57.14286
ORRCAP-CSBDN,PTKP CS-Prestige Tech Park Kadabisanahalli,BLDR Bellanduru City Light Appartment ,3,4,75.0,80,91,87.91209
296-KUP,JONGWR Jn of Nagavara,TLBSD Thanisandra,2,2,100.0,2,2,100.0
121-BUP,SBS0 Shivajinagara Bus Station,KMT2 KR Market,4,5,80.0,161,218,73.85321
MCH-D35DN,MCH0 Machohalli,KDGC Kadabagere Cross,2,4,50.0,7,11,63.636364
BMT10-RKHUP,JONGWR Jn of Nagavara,TLBSD Thanisandra,2,3,66.66667,6,10,60.000004
364-GDN,MNRVC Minerva Circle,KBS123 Kempegowda Bus Station,2,3,66.66667,9,11,81.818184
D34GT-BSK 374CDN,RGGD Ragigudda Temple,BSKTTMC0 Banashankari TTMC,2,3,66.66667,2,3,66.66667
VJNT-NBVBUP,NBVC3 Nagarabhavi Circle,KNGNT Kengunte Circle,2,2,100.0,4,4,100.0
335-RUP,VYDHS White Field TTMC (Vydehi Hospital),KDG0 Kadugodi Bus Station,6,31,19.354837,7,11,63.636364
258-TAUP,NMG0 Nelamangala Bus Station,KNMG1 Kannamangala Gate,16,22,72.72727,22,33,66.66667
SCPS-DBSUP,KFCIPDR Police Station Indiranagara,DPNH Dhoopanahalli,2,2,100.0,18,18,100.0
VNS-VSLUP,HBLB1 Hebbala Bridge (Towards BEL Circle),GRGPLY Goraguntepalya (Towards Tumkur Road),3,3,100.0,11,15,73.333336
ELC-PDOVUP,ELC2 Electronic City 378 ,NLDRIN Neeladri Nagara,2,2,100.0,1,1,100.0
KBS-KMTUP,Corpo Corporation (Towards KR Market),KRM4 KR Market,2,3,66.66667,7,12,58.333332
MSC-ELCWGUP,BLKLI Bilekahalli,CNLSK Central Silk Board (Towards Madivala),2,6,33.333336,1,2,50.0
KWS-ADGHPDN,KDRNH Kadirenahalli,BSKTTMC1 Banashankari TTMC,2,7,28.57143,18,33,54.545456
171-FDN,SNTTMC3 Shanthinagara TTMC,KBS123 Kempegowda Bus Station,2,2,100.0,5,5,100.0
D10-KBSDN,CSIH1 CSI Hospital,KBS123 Kempegowda Bus Station,7,8,87.5,51,102,50.0
YHP-YSTUP,NES NES Office,YST Yelahanka Satellite Town,2,2,100.0,7,7,100.0
NICE-5AUP,MARPLA Mariyappanapalya,ELCWG ELC Wipro Gate,3,5,60.000004,7,9,77.77778
346-VDN,PLT Pallavi Talkies,KBS123 Kempegowda Bus Station,3,5,60.000004,118,213,55.39906
248N KMTUP,PSS1 Peenya 2nd stage,SKDKT1 Sunkadakatte,3,6,50.0,5,10,50.0
V-61ADN,VJN1 Vijayanagara,VTTMC2 Vijayanagara TTMC,3,3,100.0,1,1,100.0
KMLS-SGHDN,KRSM2C West Cross Kumaraswamy Layout,BSKTTMC1 Banashankari TTMC,2,2,100.0,2,2,100.0
NBMS-KRPRSUP,SVMS Swamy Vivekananda Metro Station,BGH-1 Benniganahalli,2,2,100.0,4,4,100.0
