Route_name,Source,Destination,No_of_Stops_between_Source_to_Dest_including_Src_and_Dest,Total_number_of_Bus_Stops,Percentage_of_Bus_Stops_in_between,Maximum_number_of_Tickets_Sold,Total_Tickets_Sold,Pecentage_of_Tickets_Sold
GDH-PTHUP,TBH Tharabanahalli,TRBHG Tharabanahalli Gate,2,11,18.181818,7,15,46.666668
322 HOODIDN,HOFM Hope Farm (Towards ITPL),PAG Pattandur Agrahara Gate,2,16,12.5,6,59,10.169491
V-500BMDN,SJRH Sathya Sai Hospital,AECSL AECS Layout Cross,3,17,17.647058,21,334,6.287425
312DN,HLS Halasuru,SBS1 Shivajinagara Bus Station,3,9,33.333336,179,1390,12.877698
255-EDN,YTTMC1 Yashawanthapura TTMC,KRM4 KR Market,7,19,36.842106,44,690,6.376812
304-AUP,HLS1 Halasuru,ISH Isolation Hospital,2,4,50.0,1,4,25.0
77-FUP,KMT1 KR Market (Kalasipalya),NLO1 Nandini Layout Bus Stand,7,9,77.77778,223,1177,18.946474
289-LDN,AVHLY Avalahalli (Towards Ramapura),BDHI Bidarahalli,3,18,16.666668,72,773,9.31436
401RBUP,BLGC2 Nagaland Circle,NJPAC Nanjappa Circle,14,18,77.77778,1,7,14.285715
263-JUP,KRM4 KR Market,KBS1 Kempegowda Bus Station,3,12,25.0,72,634,11.356467
75-BDN,MGDTLG Magadi Road TollGate ,RJNESI ESI Hospital Rajajinagara (Towards Navarang),2,10,20.0,188,1341,14.019388
212-BUP,BSK1 Banashankari Bus Station (Towards Konanakunte Cross),THGNI Thataguni,7,15,46.666668,29,415,6.9879518
228-HDN,BPN Bapujinagara,KBS123 Kempegowda Bus Station,4,14,28.57143,35,470,7.4468083
89-EDN,KRBRHLL Kurubarahalli,KBS123 Kempegowda Bus Station,6,7,85.71429,633,3437,18.417225
372-MAUP,HMGT Hulimavu Gate (Towards Meenakshi Temple),GTR2 Gottigere (Towards Basavanapura Gate),2,25,8.0,33,431,7.6566124
D35-KMT 241UP,MGDTLG Magadi Road TollGate ,KMT1 KR Market (Kalasipalya),4,11,36.363636,12,117,10.256411
79-G VSDUP,HRSDG Harishchandra Ghat,SBS1 Shivajinagara Bus Station,5,9,55.555557,16,138,11.594203
V-600CDN,ROPAG Rupena Agrahara,RGGD Ragigudda Temple,3,5,60.000004,1,1,100.0
BWPS-LGP-KLNBDN,COLPK Coles Park (Towards Doddy),KARCH1 Kacharakanahalli,2,3,66.66667,6,7,85.71429
54-EUP,KBS1 Kempegowda Bus Station,KMT2 KR Market,5,7,71.42857,111,343,32.361515
BMT13-BNPUP,HMGT Hulimavu Gate (Towards Meenakshi Temple),GTR2 Gottigere (Towards Basavanapura Gate),3,10,30.000002,12,77,15.584415
404-EUP,RTNPS2 Police Station RT Nagara ,HBL Hebbala (Towards Yalahanka),2,12,16.666668,140,757,18.494057
226-VBDN,BNDR Banandur,BDD Bidadi,2,24,8.333334,40,618,6.472492
PTH-VPPUP,CHKHLY Chikka Bettahalli,VDPRA Vidyaranyapura,2,4,50.0,1,1,100.0
BMT6-HBLUP,KLNGRA Kalyananagara,HBLB Hebbala Bridge (Towards Bhadrappa Layout),4,7,57.14286,10,60,16.666668
366-MUP,KMT1 KR Market (Kalasipalya),WEVRCL Weavers Colony,10,13,76.92308,122,1916,6.367432
362DN,MDWL1 Madivala,SBS1 Shivajinagara Bus Station,7,10,70.0,129,660,19.545456
KRM-CKBRDN,BMH2 Bommanahalli (Towards Electronic City),KDG Kudlu Gate,3,13,23.076923,6,26,23.076923
43-CDN,HNTMWRD Hanumanthanagara Ward Office ,VERB Veerabhadra Nagara,6,11,54.545456,103,938,10.98081
502-CUP,RMNALDM Ramamurthy Nagara Alada Mara,KRPG KR Puram Govt Hospital,2,11,18.181818,495,2779,17.812162
271BUP,CNTRL Central,YPRTG TollGate Yeshwanthapura,3,6,50.0,2,7,28.57143
210ZADN,BSKTTMC0 Banashankari TTMC,KBS123 Kempegowda Bus Station,6,8,75.0,35,197,17.766499
324-CUP,KRM4 KR Market,WFPO3 White Field Post Office,13,14,92.85714,41,420,9.761905
336-BDN,HALMG-1 HAL Main Gate (Towards Murugeshpalya),KBS123 Kempegowda Bus Station,8,11,72.72727,70,389,17.994858
GNR-EJPUP,CRLST Cantonment Railway Station,SBSTTMC Shivajinagara Bus Station,2,9,22.222223,22,181,12.154696
KDG-SVMSDN,HOFM Hope Farm (Towards ITPL),PAG Pattandur Agrahara Gate,2,9,22.222223,104,648,16.049381
231-KUP,AVRGRC1 Avaragere Cross,BDD Bidadi,3,17,17.647058,1,1,100.0
SNBS-HSG253JUP,JHC Jalahalli Cross,BGLG Bagalagunte (Towards Chikkabanavara),2,14,14.285715,13,147,8.843537
98-CDN,DVSNDRA Devasandra Chikkamaranahalli,KBS123 Kempegowda Bus Station,5,6,83.33333,73,390,18.717949
ATB-D21G 600FDN,BMH4 Bommanahalli (Towards St Johns),BSK Banashankari Bus Station (Towards Kadirenahalli),4,22,18.181818,70,1316,5.319149
UTH-D34GT 378DN,UTH Uttarahalli,JSD1 Jambu Savari Dinne,5,5,100.0,2,11,18.181818
KDB-D35DN,KDBG Kadabagere,KDBGC Kadabagere Cross,2,2,100.0,16,16,100.0
KMT-BYHUP,YHKSC1 Yelahanka Santhe Circle,VTHL1 Venkatala,2,20,10.0,20,363,5.5096416
296-VUP,CLSSHL Clarence School (Towards Banasawadi),KARCH1 Kacharakanahalli,5,7,71.42857,10,34,29.411766
BSK-SBS-HNRCDN,COLPK Coles Park (Towards Doddy),CRLS Charls School Toll Gate ,3,14,21.428572,2,7,28.57143
G-2UP,AGRA1 Jn of Agara,DKKSJP1 Doddakannalli,4,20,20.0,525,9608,5.4641967
347-DUP,KMT1 KR Market (Kalasipalya),SSP Somasundarpalya,13,13,100.0,128,839,15.256257
JLO-KBSUP,JDCLO Judicial Layout,KBS123 Kempegowda Bus Station,10,10,100.0,25,121,20.661158
CKBR-KBS-347C UP,BMH4 Bommanahalli (Towards St Johns),KBS123 Kempegowda Bus Station,6,7,85.71429,30,62,48.387096
360-QDN,HBGDI1 Hebbagodi,ELC Electronic City (Towards Bommanahalli),3,27,11.111112,25,467,5.3533187
285-TDN,NES1 NES Office,KRM4 KR Market,13,20,65.0,50,917,5.452563
VPS-KMTDN,NDH1 Nayandahalli,BPN Bapujinagara,2,4,50.0,3,6,50.0
12-LUP,KBS1 Kempegowda Bus Station,MNTYP Monotype Corporation,7,8,87.5,67,212,31.603775
228-C BSK-DKHUP,BGSM BGS Health City Gate Abhiman Studio,KGR8 Kengeri,2,15,13.333334,44,255,17.254902
238-SDN,BPN Bapujinagara,KMT1 KR Market (Kalasipalya),3,12,25.0,165,1128,14.627659
SNR-BSK-DMRUP,BSKTTMC1 Banashankari TTMC,BOPBSTP Dhoopanahalli,6,6,100.0,2,10,20.0
CVR-MEBPUP,CVRMGN CV Raman Nagara (Towards Benniganahalli),KASTN Kasthuri Nagara Ring Road,2,2,100.0,1,1,100.0
SBS-Depot-10DN,SBS0 Shivajinagara Bus Station,MRTSVNG1 Maruthi Sevanagara,5,8,62.5,12,111,10.810811
ABG-PSSDN,KGHB Kammagondanahalli Bridge,JHC4 Jalahalli Cross,2,4,50.0,16,57,28.070175
225AB HVHDN,RRT1 RR Temple,NDH1 Nayandahalli,2,8,25.0,40,230,17.391304
223FDN,SNH3 Sonnenahalli,KMT1 KR Market (Kalasipalya),8,10,80.0,110,914,12.03501
298-MGUP,KBS1 Kempegowda Bus Station,DVHOBS2 Devanahalli Old Bus Stand,24,26,92.30769,34,445,7.6404495
KBS-CKBR-347CDN,KBS1 Kempegowda Bus Station,KDG Kudlu Gate,12,13,92.30769,5,31,16.129032
242DN,MGDTLG Magadi Road TollGate ,KMT1 KR Market (Kalasipalya),4,16,25.0,113,1302,8.678956
61CDN,MGDTLG Magadi Road TollGate ,KBS123 Kempegowda Bus Station,3,6,50.0,9,31,29.032257
282-DUP,KBS1 Kempegowda Bus Station,YHKSC1 Yelahanka Santhe Circle,9,14,64.28571,33,341,9.677419
KHBQ-KBSUP,BPN Bapujinagara,KBS123 Kempegowda Bus Station,4,6,66.66667,104,175,59.428574
201-MAUP,MDWS1 Madivala Masidi,BOPBSTP Dhoopanahalli,5,8,62.5,62,409,15.158924
285-CDN,HBL1 Hebbala (Towards RM Guttahalli),KRM4 KR Market,8,13,61.538464,46,476,9.663866
252-HDN,LGR Laggere New Bus Stand,KBS123 Kempegowda Bus Station,8,8,100.0,513,2760,18.586956
45-GUP,KBS1 Kempegowda Bus Station,BANKC Bank Colony,7,13,53.846157,666,4191,15.891196
BLS-D10DN,BLSVLE Bileshivale,GEDH Geddalahalli (Towards Hennur),2,4,50.0,3,5,60.000004
SBS-CRLUP,BSGDY Basavanagudi Police Station,KDRNHL Kadirenahalli Village,4,10,40.0,3,12,25.0
YTTMC-CJPUP,YTTMC1 Yashawanthapura TTMC,MTKR Mattikere,3,3,100.0,4,5,80.0
YHKOT-HBL-BMT10DN,YHKSC Yelahanka Santhe Circle,BRP1 Byatarayanapura (Towards Hebbala),2,4,50.0,1,3,33.333336
STP-BSKUP,JBS4thB Jayanagara 4th Block,BSKTTMC0 Banashankari TTMC,2,5,40.0,8,14,57.14286
375DN,BSKTTMC1 Banashankari TTMC,JTTMC Jayanagara TTMC,2,13,15.384616,553,1633,33.864056
RMNPS-KGR 502DUP,KLNGRA Kalyananagara,NAGJN Jn of Nagawara,2,18,11.111112,16,148,10.810811
JBN-D06UP,JVBN Jeevanbheema Nagara,kfcps2 Police Station Indiranagara,3,4,75.0,28,49,57.14286
HGH-PTHUP,CKHJ Chikkajala,YHKSC Yelahanka Santhe Circle,4,6,66.66667,3,5,60.000004
D35-MCHUP,KDBGC Kadabagere Cross,MCH Machohalli,2,3,66.66667,4,5,80.0
340LDN,AGRA Agara (Towards Hebbala),DRC1 Bengaluru Dairy Circle (Towards Lakkasandra),5,10,50.0,3,43,6.9767447
BTM-SJP-KGRUP,AGRA1 Jn of Agara,KAIK1 Kaikondrahalli,3,13,23.076923,7,67,10.447762
KGR-BSNDN,KGR2 Kengeri TTMC,JOKMGT Jn of Kommaghatta,2,2,100.0,1,1,100.0
335-PEUP,KDLGTE Kundalahalli Gate,PAG Pattandur Agrahara Gate,5,16,31.25,41,260,15.769232
BDH-JHC-PSS  BC-7BDN,NLGH Nelagadarenahalli,8thML8 8th Mile (Towards Dasarahalli),3,6,50.0,5,16,31.25
255DN,MRSNF Marison Factory,JHC3 Jalahalli Cross,3,17,17.647058,59,740,7.972973
CS-ORRCAQ-ATBDN,MTBH-2 Marathahalli Bridge,BLDR Bellanduru City Light Appartment ,3,12,25.0,53,132,40.151516
258-M TMG-KBSDN,TMG3 Thyamagondlu,NMG0 Nelamangala Bus Station,10,28,35.714287,62,973,6.372045
D06-CRSUP,LFSTY Life Style,KBS1 Kempegowda Bus Station,2,2,100.0,1,1,100.0
PDP-NESDN,NGNH1 Nagenahalli Gate,NES1 NES Office,3,7,42.857143,28,116,24.13793
248-JUP,JLCR1 Jalahalli Cross,BGLG Bagalagunte (Towards Chikkabanavara),3,23,13.043478,276,1936,14.256199
303-GDN,BNSWD Banasawadi (Towards Shivajinagara),SBS1 Shivajinagara Bus Station,7,10,70.0,61,689,8.853411
61-ADN,MGDTLG Magadi Road TollGate ,KBS123 Kempegowda Bus Station,4,7,57.14286,634,3392,18.691038
401MDDN,CHWIN LB Samudaya Bhavana,YTTMC Yashawanthapura TTMC,5,11,45.454548,32,335,9.552238
305-KUP,PTAGC Pattandur Agrahara Gate,HOF Hope Farm (Towards Chikka Thirupathi),2,19,10.526316,87,1116,7.795699
CKB-CVBDN,JNPA Janapriya Apartment,JHC3 Jalahalli Cross,4,11,36.363636,34,147,23.129251
95-B YTTMC-SNBUP,MODIH Modi Hospital,KML2 Market Kamalanagara,3,5,60.000004,42,101,41.58416
214-GDN,RGHL1 Raghuvanahalli Cross,BSKTTMC1 Banashankari TTMC,7,29,24.13793,90,1151,7.8192873
226-CUP,KMT1 KR Market (Kalasipalya),KGR2 Kengeri TTMC,6,14,42.857143,103,1116,9.22939
294-ADN,HNRCRS Hennur Cross (Towards Lingarajapura),KRM4 KR Market,8,14,57.14286,38,298,12.7516775
329-FUP,KRM4 KR Market,HALMG HAL Main Gate (Towards Marathahalli Bridge),8,19,42.105263,58,1087,5.3357863
KBS-ITPLUP,HLS1 Halasuru,KRPRLY Railway Station KR Puram,4,9,44.444447,10,72,13.888889
258-UUP,JHC Jalahalli Cross,MF Marison Factory,2,20,10.0,20,251,7.9681277
34UP,SBS0 Shivajinagara Bus Station,LBGHG Lalbagh Main Gate,4,9,44.444447,17,119,14.285715
36-GUP,CMRJPT Chamarajapet (Towards Ganesh Bhavana),ABL Avalahalli BDA Park Girinagara,4,9,44.444447,62,409,15.158924
JFWTC-CSBDN,MTBH-2 Marathahalli Bridge,BLDR Bellanduru City Light Appartment ,3,12,25.0,200,681,29.368576
V-500DCDN,KDBH1 Kadabisanahalli,MTHMTH Multiplex Marathahalli,2,19,10.526316,10,154,6.4935064
323-JDN,KDGATE Kundalahalli Gate,MRHLLI Marathahalli,2,15,13.333334,120,1996,6.012024
311-KUP,SBS0 Shivajinagara Bus Station,KRPGH KR Puram Govt Hospital,7,10,70.0,70,559,12.522361
242-NDN,BDH1 Byadarahalli (Towards Sunkadakatte),SKDKT1 Sunkadakatte,2,13,15.384616,71,775,9.16129
122DN,INDEXP1 Indian Express,KBS123 Kempegowda Bus Station,6,6,100.0,10,19,52.63158
D10-KMH-SBSUP,BATL Ayyappa Temple Banasawadi,CSIH1 CSI Hospital,4,5,80.0,1,3,33.333336
600-GADN,BTM16 16th Main BTM Layout ,HBGDI Hebbagodi,8,13,61.538464,8,54,14.814815
500-KBDN,YTTMC1 Yashawanthapura TTMC,MTKR Mattikere,3,3,100.0,5,6,83.33333
KDG-HBLUP,KASTN Kasthuri Nagara Ring Road,VRPC Veeranapalya,6,16,37.5,1,2,50.0
250-CUP,KBS1 Kempegowda Bus Station,BGLG Bagalagunte (Towards Chikkabanavara),10,11,90.909096,61,229,26.637554
SAES-BEL-SBSDN,MTKR1 Mattikere,SBS1 Shivajinagara Bus Station,6,10,60.000004,45,92,48.913044
SVNB-KBSDN,CHRPE Chamarajapet (Towards Kempegowda Bus Station),KBS123 Kempegowda Bus Station,3,3,100.0,3,3,100.0
226-TUP,KGR2 Kengeri TTMC,BSVN1 Basavanagara Kengeri,2,16,12.5,47,788,5.964467
276-BUP,KBS1 Kempegowda Bus Station,NJPC Nanjappa Circle,9,11,81.818184,125,1004,12.450199
KMT-BEML5 225CUP,KMT1 KR Market (Kalasipalya),NDH Nayandahalli,3,6,50.0,98,497,19.71831
315-TUP,BCBG B Channasandra Bridge (Towards KR Puram),TCPC TC Palya Cross,3,12,25.0,34,184,18.47826
377-ADN,TVK1 Tavarekere,NMG0 Nelamangala Bus Station,8,21,38.095238,52,331,15.7099695
SVG-YTTMCUP,SVTG CS-Sri Venkateshwara Garments Gorguntepalya,YTTMC1 Yashawanthapura TTMC,3,3,100.0,3,4,75.0
CAPGR-DMLUP,KFCIPDR Police Station Indiranagara,DPNH Dhoopanahalli,2,6,33.333336,1,1,100.0
CHAKRA-3UP,BSKTTMC1 Banashankari TTMC,KGR1 Kengeri TTMC,14,17,82.35294,66,476,13.865547
PSS-BEMLUP,JHC2 Jalahalli Cross,KMGDBG1 Bridge Kammagondanahalli,2,24,8.333334,21,255,8.235294
NLSB-ACCB6UP,DMLUR Domlur (Towards HAL),KUDGT Kundalahalli Gate,3,3,100.0,2,2,100.0
371-DUP,BNGC Bannerughatta Circle (Towards Kaggalipura),KGLPRBNP Kaggalipura,6,15,40.0,55,210,26.190477
323-N KBSDN,MRH Marathahalli ,VRTBS1 Varthuru,5,17,29.411766,51,624,8.173077
BSK-GRN ExtUP,INDNH Indira Nursing Home,KTPR Kathriguppe,2,6,33.333336,4,10,40.0
KMT-ATB-HDHUP,MDWMK Madivala,BMH2 Bommanahalli (Towards Electronic City),3,18,16.666668,12,113,10.619469
222-KUP,SBS0 Shivajinagara Bus Station,KMT2 KR Market,4,13,30.769232,223,1179,18.914335
333-CUP,KBS1 Kempegowda Bus Station,HALMG HAL Main Gate (Towards Marathahalli Bridge),9,11,81.818184,247,1400,17.642857
BNP-DPJNDN,BSNG Basavanapura Gate,BLKLI Bilekahalli,3,6,50.0,2,5,40.0
365-CDN,HMG Hulimavu Gate (Towards Jayadeva Hospital),KBS123 Kempegowda Bus Station,7,12,58.333332,37,431,8.584687
343-LUP,BMH8 Bommanahalli (Towards Madivala),HNSRA Hongasandra,2,11,18.181818,28,94,29.787233
SBS-BELUP,CPRI2 CPRI,YPRTG TollGate Yeshwanthapura,2,7,28.57143,10,65,15.384616
258-DUP,DSN Dasanapura (Towards Nelamangala),NMG0 Nelamangala Bus Station,3,3,100.0,6,10,60.000004
402-ADN,HBL1 Hebbala (Towards RM Guttahalli),KRMC1 KR Market,8,14,57.14286,32,442,7.2398195
317-YDN,HSKK Hoskote Kodi,BDG Budigere Cross ( Towards Kempegowda Bus Station),2,17,11.764706,15,190,7.8947363
327-BDN,KDGATE Kundalahalli Gate,KRM4 KR Market,12,17,70.588234,52,854,6.088993
KRC-NLOUP,RAJ1B 1st Block Rajajinagara,NLO1 Nandini Layout Bus Stand,2,6,33.333336,31,70,44.285713
313-PDN,HLS Halasuru,KRM4 KR Market,5,10,50.0,16,144,11.111112
383-ADN,KRPM KR Puram Market,TIF Tin Factory,2,14,14.285715,10,109,9.174312
143-EDN,RSNDN Neelasandra Rose Garden,KRM4 KR Market,6,6,100.0,585,2624,22.294207
346CJUP,KMT1 KR Market (Kalasipalya),JBS4th Jayanagara 4th Block,4,8,50.0,4,18,22.222223
DML-SVRUP,BEML BEML Gate (Towards CV Raman Nagara),GTREE GTRE Engine Division,2,5,40.0,17,25,68.0
YBS-D10UP,BELCR2 BEL Circle (Towards Hebbala),DVNRA Devinagara,2,4,50.0,2,5,40.0
34-BUP,LGHM Lalbagh Main Gate,SBS1 Shivajinagara Bus Station,3,6,50.0,8,35,22.857143
46-ADN,BNKCLY Bank Colony,KBS123 Kempegowda Bus Station,5,10,50.0,312,2044,15.264188
V-201RDN,KFCIPDR Police Station Indiranagara,MTBG Military Bridge,4,25,16.0,284,2918,9.732694
321-EDN,HLS Halasuru,SBS1 Shivajinagara Bus Station,3,15,20.0,58,260,22.307692
21UP,KRM4 KR Market,JBS4th Jayanagara 4th Block,5,5,100.0,24,63,38.095238
VSD-JP6UP,Corpo Corporation (Towards KR Market),JTTMC Jayanagara TTMC,3,6,50.0,7,21,33.333336
410-EDN,KMKPL Kamakshipalya,HGHMD Hegganahalli (Towards Peenya 2nd Stage),4,22,18.181818,37,708,5.225989
197DN,KFCPS Police Station Indiranagara ,JVBN Jeevanbheema Nagara,3,10,30.000002,29,138,21.014492
TVK-KMT 227JDN,RMH12 Ramohalli,KGR1 Kengeri TTMC,5,15,33.333336,20,238,8.403361
306RADN,HOFM Hope Farm (Towards ITPL),PAG Pattandur Agrahara Gate,2,14,14.285715,20,230,8.695652
365-SUP,BLKLLI Bilekahalli,GTR2 Gottigere (Towards Basavanapura Gate),3,14,21.428572,23,197,11.675127
SCES-KGRUP,SCS2 CS-St Clare School,KGR2 Kengeri TTMC,5,5,100.0,16,59,27.118645
V-500KGUP,CLA Bellanduru,KUDGT Kundalahalli Gate,6,16,37.5,32,178,17.977528
95-EDN,MLESHW 8th Cross Malleshwaram (Margosa Road),KMLNGR Kamalanagara,4,7,57.14286,25,167,14.970059
V-500KDN,MTBH-2 Marathahalli Bridge,BLDR Bellanduru City Light Appartment ,3,23,13.043478,76,1124,6.7615657
PSS-VSREUP,NTTF NTTF Peenya,JHC2 Jalahalli Cross,2,3,66.66667,10,12,83.33333
BSH-KMT 317VDN,KRPM KR Puram Market,TIF Tin Factory,2,13,15.384616,29,248,11.693548
234CDN,MGDTLG Magadi Road TollGate ,KBS1 Kempegowda Bus Station,3,8,37.5,20,86,23.255816
NSB-JAPCUP,NSRGBD Nisarga Badavane,KPGT Koppa Gate,2,2,100.0,1,1,100.0
346-JUP,KMT1 KR Market (Kalasipalya),BMH2 Bommanahalli (Towards Electronic City),9,12,75.0,54,643,8.398133
285-MFDN,HBL1 Hebbala (Towards RM Guttahalli),KBS123 Kempegowda Bus Station,8,25,32.0,256,1932,13.250518
MNNK-BSKDN,KTGP Kathriguppe,BSKTTMC0 Banashankari TTMC,3,3,100.0,6,10,60.000004
KBS-HBGUP,CRP12 Corporation (Towards Subbiah Circle),DRC Bengaluru Dairy Circle (Towards Madiwala),3,13,23.076923,14,99,14.141414
ANJM-KBRDN,RTNPS3 Police Station RT Nagara ,KBR Kaval Byrasandra,2,6,33.333336,27,40,67.5
258-VAUP,JHC Jalahalli Cross,NMG0 Nelamangala Bus Station,7,21,33.333336,9,58,15.517241
BEL-CSBDN,KLMD12 Marathahalli Bridge,BLDR Bellanduru City Light Appartment ,3,19,15.789473,14,234,5.982906
284-D VSDDN,YST Yelahanka Satellite Town,KBS123 Kempegowda Bus Station,17,17,100.0,77,588,13.095239
KIAS-8BUP,NAGJN Jn of Nagawara,HBLB Hebbala Bridge (Towards Bhadrappa Layout),4,20,20.0,5,6,83.33333
GAT-KBSDN,RGHL1 Raghuvanahalli Cross,BSKTTMC1 Banashankari TTMC,4,20,20.0,48,914,5.2516413
KRM NGV-SJPUP,AGRA1 Jn of Agara,BSJP1 Bellanduru Gate SJP Road ,2,12,16.666668,5,40,12.5
YHK-KDGCUP,YHK Yelahanka Old Town,VTHL1 Venkatala,2,7,28.57143,27,106,25.471699
211-HUP,SECRL South End Circle,BSK1 Banashankari Bus Station (Towards Konanakunte Cross),2,17,11.764706,87,880,9.886364
364FADN,BLKLI Bilekahalli,JTTMC Jayanagara TTMC,4,10,40.0,58,711,8.157524
258-KAUP,KRM4 KR Market,NMG0 Nelamangala Bus Station,17,25,68.0,52,754,6.8965516
240RUP,SKK Sunkadakatte,BDH2 Byadarahalli (Towards Gollarahatti),2,12,16.666668,19,116,16.37931
JAPC-RJPUP,MDPN Madapatna,HRGD Haragadde,2,3,66.66667,1,2,50.0
227RUP,KMT1 KR Market (Kalasipalya),NDH Nayandahalli,3,14,21.428572,72,949,7.5869336
333-TUP,NGBVC1 Nagarabhavi Circle,VJNGRAA Vijayanagara,3,6,50.0,8,41,19.512194
361-KDN,BMH4 Bommanahalli (Towards St Johns),KMT1 KR Market (Kalasipalya),13,26,50.0,47,853,5.509965
316-NUP,KRM4 KR Market,KRPM-1 KR Puram Market,9,17,52.941177,35,528,6.6287875
365-BUP,GRPL Gurappanapalya,BLKLLI Bilekahalli,2,12,16.666668,25,252,9.920635
288-ADN,HBL1 Hebbala (Towards RM Guttahalli),RTNPS1 Police Station RT Nagara ,2,12,16.666668,355,2482,14.30298
407-CUP,YHK1 Yelahanka Old Town,VTHL1 Venkatala,31,31,100.0,44,156,28.20513
MF6UP,MDWL1 Madivala,BOPBSTP Dhoopanahalli,10,14,71.42857,1316,9033,14.568803
KMT-ANK FLY Over 361CDN,KMT1 KR Market (Kalasipalya),ANKL Anekal,21,21,100.0,96,542,17.712177
MDMS-D06DN,BOPBSTP Dhoopanahalli,kfcps2 Police Station Indiranagara,2,6,33.333336,54,133,40.601505
MGR-SNBSUP,RCHMDCR Richmond Circle,SNTTMC Shanthinagara TTMC,2,2,100.0,1,1,100.0
AGSL-BSKDN,KDHP Kadirenahalli Park,BSKTTMC0 Banashankari TTMC,2,2,100.0,2,2,100.0
TGP-D35DN,ADH0 Andhrahalli,BDH2 Byadarahalli (Towards Gollarahatti),2,2,100.0,2,2,100.0
SGH-DBSUP,ASTWN Austin Town,HLS-1 Halasuru,3,13,23.076923,66,998,6.6132264
V-335TUP,VYDHS White Field TTMC (Vydehi Hospital),ITL ITPL,3,17,17.647058,5,5,100.0
HPM-ITPLUP,HPM CS-HP SofTowardsare Mahadevapura,BBZ Big Bazzar  ITPL,2,3,66.66667,1,1,100.0
KMT-CSRDN,BHVI Bhovi Colony,CHOD1 Choodasandra,2,11,18.181818,1,1,100.0
213-MDN,RGHL1 Raghuvanahalli Cross,BSKTTMC1 Banashankari TTMC,4,15,26.666668,46,619,7.431341
D34-KRMUP,HULMGTBIKL Hulimavu Gate (Towards Bilekahalli),KMT1 KR Market (Kalasipalya),8,9,88.88889,60,478,12.552301
356-JEUP,MDWMK Madivala,BMH2 Bommanahalli (Towards Electronic City),3,19,15.789473,17,221,7.692308
227AUP,KGR2 Kengeri TTMC,RMH13 Ramohalli,5,14,35.714287,99,1201,8.243131
KMT-CSBSUP,CKHSAM Chikkallasandra Aralimara (Chikkalasandra),CKBS1 Chikkallasandra,2,7,28.57143,3,3,100.0
241-CDUP,SKK Sunkadakatte,BDH2 Byadarahalli (Towards Gollarahatti),2,12,16.666668,116,1009,11.4965315
300-MBDN,INDEXP1 Indian Express,KBS Kempegowda Bus Station (Amara Hotel),3,6,50.0,10,26,38.46154
UPLO-SBSUP,MGDTLG Magadi Road TollGate ,KBS1 Kempegowda Bus Station,3,10,30.000002,12,94,12.765958
258-VDN,SDVHLI12 Soladevanahalli,NMG0 Nelamangala Bus Station,3,21,14.285715,23,281,8.185054
HLM-ELC UP,KMPUR Kempapura ,ELC3 Electronic City (Towards Attibele),2,2,100.0,1,1,100.0
250-DAUP,JLCR1 Jalahalli Cross,BGLG Bagalagunte (Towards Chikkabanavara),4,12,33.333336,943,2077,45.402023
ACC B6-KRM TMMCDN,MTBH-2 Marathahalli Bridge,BLDR Bellanduru City Light Appartment ,3,13,23.076923,108,516,20.930233
RTNP-BSKDN,RGGD Ragigudda Temple,BSKTTMC0 Banashankari TTMC,3,27,11.111112,42,134,31.343285
317ADN,KRPM KR Puram Market,ISOLH Isolation Hospital,4,12,33.333336,10,82,12.195122
VSD-NMGUP,JHC Jalahalli Cross,MF Marison Factory,3,18,16.666668,20,155,12.903225
ELC-BGTPSUP,BEGLI Begihalli,MNTPACRO Mantapa Cross,2,8,25.0,2,2,100.0
114-BUP,KBS1 Kempegowda Bus Station,SLTPL Sultanpalya,9,9,100.0,559,2565,21.793373
330-EDN,KDBH1 Kadabisanahalli,MPH-1 NAL Manipal Hospital ,5,9,55.555557,103,814,12.653563
380-CDN,TIF Tin Factory,KRM4 KR Market,8,17,47.058823,13,213,6.1032867
502-DDN,SHRK Shirke KHB Quarters,KGR2 Kengeri TTMC,2,21,9.523809,59,863,6.836616
CLO-BSNUP,VJNGRAA Vijayanagara,BSN0 Basaveshwaranagara New Bus Stand,3,5,60.000004,5,21,23.809525
37-AUP,RMDC Richmond Circle,RMKA Ramakrishna Ashrama,3,5,60.000004,10,32,31.25
HBL-ORRCAPDN,jnon Jn of Nagawara,KRPRLY Railway Station KR Puram,3,5,60.000004,2,3,66.66667
211-AAUP,KBS1 Kempegowda Bus Station,BSK1 Banashankari Bus Station (Towards Konanakunte Cross),6,11,54.545456,197,916,21.506552
290-ZDN,KDGH23 Kadugondanahalli Police Station,SBS1 Shivajinagara Bus Station,5,14,35.714287,36,269,13.3829
362-DUP,SBST Shivajinagara Bus station,BMH2 Bommanahalli (Towards Electronic City),12,14,85.71429,184,1201,15.320566
306-EUP,HOF Hope Farm (Towards Chikka Thirupathi),CNS Channasandra (Towards Chikka Thirupathi),2,20,10.0,16,282,5.6737585
63-EUP,MGDTLG Magadi Road TollGate ,RJNESI ESI Hospital Rajajinagara (Towards Navarang),2,9,22.222223,73,861,8.478514
223-EDN,SNH3 Sonnenahalli,KMT1 KR Market (Kalasipalya),8,10,80.0,212,1885,11.246684
PSS-DBKLUP,NTTF NTTF Peenya,JLCR1 Jalahalli Cross,2,3,66.66667,6,13,46.153847
